symbol,company_name,sector,series
ITCHOTELS,ITC Hotels Limited,Hotels & Resorts,EQ
ITI,ITI Limited,Telecom - Equipment & Accessories,EQ
J&KBANK,The Jammu & Kashmir Bank Limited,Private Sector Bank,EQ
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals,EQ
JBMA,JBM Auto Limited,Auto Components & Equipments,EQ
JINDALSAW,Jindal Saw Limited,Iron & Steel Products,EQ
JINDALSTEL,JINDAL STEEL LIMITED,Iron & Steel,EQ
JIOFIN,Jio Financial Services Limited,Investment Company,EQ
JKCEMENT,JK Cement Limited,Cement & Cement Products,EQ
JKTYRE,JK Tyre & Industries Limited,Tyres & Rubber Products,EQ
JMFINANCIL,JM Financial Limited,Holding Company,EQ
JPPOWER,Jaiprakash Power Ventures Limited,Power Generation,EQ
JSL,Jindal Stainless Limited,Iron & Steel,EQ
JSWCEMENT,JSW Cement Limited,Cement & Cement Products,EQ
JSWENERGY,JSW Energy Limited,Power Generation,EQ
JSWINFRA,JSW Infrastructure Limited,Port & Port services,EQ
JSWSTEEL,JSW Steel Limited,Iron & Steel,EQ
JUBLFOOD,Jubilant Foodworks Limited,Restaurants,EQ
JUBLINGREA,Jubilant Ingrevia Limited,Specialty Chemicals,EQ
JUBLPHARMA,Jubilant Pharmova Limited,Pharmaceuticals,EQ
JWL,Jupiter Wagons Limited,Railway Wagons,EQ
JYOTHYLAB,Jyothy Labs Limited,Household Products,EQ
JYOTICNC,Jyoti CNC Automation Limited,Industrial Products,EQ
KAJARIACER,Kajaria Ceramics Limited,Ceramics,EQ
KALYANKJIL,Kalyan Jewellers India Limited,Gems Jewellery And Watches,EQ
KARURVYSYA,Karur Vysya Bank Limited,Private Sector Bank,EQ
KAYNES,Kaynes Technology India Limited,Industrial Products,EQ
KEC,KEC International Limited,Civil Construction,EQ
KEI,KEI Industries Limited,Cables - Electricals,EQ
KFINTECH,Kfin Technologies Limited,Depositories Clearing Houses and Other Intermediaries,EQ
KIMS,Krishna Institute of Medical Sciences Limited,Hospital,EQ
KIRLOSBROS,Kirloskar Brothers Limited,Compressors Pumps & Diesel Engines,EQ
KIRLOSENG,Kirloskar Oil Engines Limited,Compressors Pumps & Diesel Engines,EQ
KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank,EQ
KPIL,Kalpataru Projects International Limited,Civil Construction,EQ
KPITTECH,KPIT Technologies Limited,Computers - Software & Consulting,EQ
KPRMILL,K.P.R. Mill Limited,Other Textile Products,EQ
KSB,Ksb Limited,Compressors Pumps & Diesel Engines,EQ
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Service Provider,EQ
LATENTVIEW,Latent View Analytics Limited,Computers - Software & Consulting,EQ
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,EQ
LEMONTREE,Lemon Tree Hotels Limited,Hotels & Resorts,EQ
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Company,EQ
LICI,Life Insurance Corporation Of India,Life Insurance,EQ
LINDEINDIA,Linde India Limited,Industrial Gases,EQ
LLOYDSME,Lloyds Metals And Energy Limited,Industrial Minerals,EQ
LODHA,Lodha Developers Limited,Residential Commercial Projects,EQ
LT,Larsen & Toubro Limited,Civil Construction,EQ
LTF,L&T Finance Limited,Investment Company,EQ
LTFOODS,LT Foods Limited,Other Agricultural Products,EQ
LTM,LTIMindtree Limited,Computers - Software & Consulting,EQ
LTTS,L&T Technology Services Limited,IT Enabled Services,EQ
LUPIN,Lupin Limited,Pharmaceuticals,EQ
M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,EQ
M&MFIN,Mahindra & Mahindra Financial Services Limited,Non Banking Financial Company (NBFC),EQ
MAHABANK,Bank of Maharashtra,Public Sector Bank,EQ
MAHSCOOTER,Maharashtra Scooters Limited,Investment Company,EQ
MAHSEAMLES,Maharashtra Seamless Limited,Iron & Steel Products,EQ
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),EQ
MANKIND,Mankind Pharma Limited,Pharmaceuticals,EQ
MANYAVAR,Vedant Fashions Limited,Speciality Retail,EQ
MAPMYINDIA,C.E. Info Systems Limited,Software Products,EQ
MARICO,Marico Limited,Edible Oil,EQ
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,EQ
MAXHEALTH,Max Healthcare Institute Limited,Hospital,EQ
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,EQ
MCX,Multi Commodity Exchange of India Limited,Exchange and Data Platform,EQ
MEDANTA,Global Health Limited,Hospital,EQ
METROPOLIS,Metropolis Healthcare Limited,Healthcare Service Provider,EQ
MFSL,Max Financial Services Limited,Life Insurance,EQ
MGL,Mahanagar Gas Limited,LPG/CNG/PNG/LNG Supplier,EQ
MINDACORP,Minda Corporation Limited,Auto Components & Equipments,EQ
MMTC,MMTC Limited,Trading & Distributors,EQ
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,EQ
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,EQ
MPHASIS,MphasiS Limited,Computers - Software & Consulting,EQ
MRF,MRF Limited,Tyres & Rubber Products,EQ
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries & Marketing,EQ
MSUMI,Motherson Sumi Wiring India Limited,Auto Components & Equipments,EQ
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),EQ
NAM-INDIA,Nippon Life India Asset Management Limited,Asset Management Company,EQ
NATCOPHARM,Natco Pharma Limited,Pharmaceuticals,EQ
NATIONALUM,National Aluminium Company Limited,Aluminium,EQ
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,EQ
NAVA,NAVA LIMITED,Power Generation,EQ
NAVINFLUOR,Navin Fluorine International Limited,Specialty Chemicals,EQ
NBCC,NBCC (India) Limited,Civil Construction,EQ
NCC,NCC Limited,Civil Construction,EQ
NESTLEIND,Nestle India Limited,Packaged Foods,EQ
NETWEB,Netweb Technologies India Limited,IT Enabled Services,EQ
NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,EQ
NEWGEN,Newgen Software Technologies Limited,Computers - Software & Consulting,EQ
NH,Narayana Hrudayalaya Ltd.,Hospital,EQ
NHPC,NHPC Limited,Power Generation,EQ
NIACL,The New India Assurance Company Limited,General Insurance,EQ
NIVABUPA,Niva Bupa Health Insurance Company Limited,General Insurance,EQ
NLCINDIA,NLC India Limited,Power Generation,EQ
NMDC,NMDC Limited,Industrial Minerals,EQ
NSLNISP,NMDC Steel Limited,Iron & Steel,EQ
NTPC,NTPC Limited,Power Generation,EQ
NTPCGREEN,NTPC Green Energy Limited,Power Generation,EQ
NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,EQ
NUVOCO,Nuvoco Vistas Corporation Limited,Cement & Cement Products,EQ
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,EQ
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,EQ
OFSS,Oracle Financial Services Software Limited,Software Products,EQ
OIL,Oil India Limited,Oil Exploration & Production,EQ
