symbol,company_name,sector,series
TCS,Tata Consultancy Services Limited,Computers - Software & Consulting,EQ
TECHM,Tech Mahindra Limited,Computers - Software & Consulting,EQ
TECHNOE,Techno Electric & Engineering Company Limited,Civil Construction,EQ
TEJASNET,Tejas Networks Limited,Telecom - Equipment & Accessories,EQ
THELEELA,Leela Palaces Hotels & Resorts Limited,Hotels & Resorts,EQ
THERMAX,Thermax Limited,Heavy Electrical Equipment,EQ
TIINDIA,Tube Investments of India Limited,Auto Components & Equipments,EQ
TIMKEN,Timken India Limited,Abrasives & Bearings,EQ
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons,EQ
TITAN,Titan Company Limited,Gems Jewellery And Watches,EQ
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles,EQ
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,EQ
TORNTPOWER,Torrent Power Limited,Integrated Power Utilities,EQ
TRENT,Trent Limited,Speciality Retail,EQ
TRIDENT,Trident Limited,Other Textile Products,EQ
TRITURBINE,Triveni Turbine Limited,Heavy Electrical Equipment,EQ
TRIVENI,Triveni Engineering & Industries Limited,Sugar,EQ
TTML,Tata Teleservices (Maharashtra) Limited,Telecom - Cellular & Fixed line services,EQ
TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,EQ
UBL,United Breweries Limited,Breweries & Distilleries,EQ
UCOBANK,UCO Bank,Public Sector Bank,EQ
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products,EQ
UNIONBANK,Union Bank of India,Public Sector Bank,EQ
UNITDSPR,United Spirits Limited,Breweries & Distilleries,EQ
UNOMINDA,UNO Minda Limited,Auto Components & Equipments,EQ
UPL,UPL Limited,Pesticides & Agrochemicals,EQ
USHAMART,Usha Martin Limited,Iron & Steel Products,EQ
UTIAMC,UTI Asset Management Company Limited,Asset Management Company,EQ
VBL,Varun Beverages Limited,Other Beverages,EQ
VEDL,Vedanta Limited,Diversified Metals,EQ
VENTIVE,Ventive Hospitality Limited,Hotels & Resorts,EQ
VGUARD,V-Guard Industries Limited,Household Appliances,EQ
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare Service Provider,EQ
VMM,Vishal Mega Mart Limited,Diversified Retail,EQ
VOLTAS,Voltas Limited,Household Appliances,EQ
VTL,Vardhman Textiles Limited,Other Textile Products,EQ
WAAREEENER,Waaree Energies Limited,Other Electrical Equipment,EQ
WELCORP,Welspun Corp Limited,Iron & Steel Products,EQ
WELSPUNLIV,Welspun Living Limited,Other Textile Products,EQ
WHIRLPOOL,Whirlpool of India Limited,Household Appliances,EQ
WIPRO,Wipro Limited,Computers - Software & Consulting,EQ
WOCKPHARMA,Wockhardt Limited,Pharmaceuticals,EQ
YESBANK,Yes Bank Limited,Private Sector Bank,EQ
ZEEL,Zee Entertainment Enterprises Limited,TV Broadcasting & Software Production,EQ
ZENSARTECH,Zensar Technologies Limited,Computers - Software & Consulting,EQ
ZENTEC,Zen Technologies Limited,Aerospace & Defense,EQ
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Auto Components & Equipments,EQ
ZYDUSLIFE,Zydus Lifesciences Limited,Pharmaceuticals,EQ
